
0.81,0.75,0.73,0.65,0.11,4
0.55,0.59,-0.01,0.02,0.01,5
0.06,0.03,0.94,0.8,0.03,6
0.01,-0.06,-0.08,0.0,0.02,7
0.55,0.04,-0.02,0.07,0.81,8
0.91,0.95,0.89,0.83,0.87,9
0.69,-0.01,-0.07,-0.0,0.01,10
0.3,0.52,0.62,0.62,0.31,11
0.76,0.83,0.75,0.17,0.12,12
0.64,0.06,0.06,0.94,0.73,13
0.31,0.07,0.23,0.75,0.9,14
-0.05,0.09,-0.04,0.04,0.52,15
0.12,1.09,1.05,1.04,0.94,16
0.71,0.86,0.06,0.1,0.05,17
-0.01,-0.04,-0.03,0.67,0.6,18
0.37,0.53,0.53,0.54,0.31,0
0.37,0.08,0.51,0.34,0.07,1
0.65,0.08,0.95,0.81,0.84,2
0.0,0.03,0.96,0.97,0.83,3
0.77,0.68,0.74,0.68,0.16,4
0.53,0.56,0.0,0.01,0.04,5
-0.02,-0.05,0.87,0.82,0.05,6
0.03,-0.04,-0.05,0.02,0.03,7
0.58,0.03,-0.02,0.07,0.81,8
0.7,1.08,1.04,0.98,0.92,9
0.7,0.04,-0.07,0.01,0.02,10
0.29,0.54,0.53,0.54,0.33,11
0.66,0.78,0.69,0.06,0.08,12
0.54,0.04,0.03,0.85,0.75,13
0.21,0.07,0.23,0.8,0.79,14
-0.06,-0.0,-0.06,0.14,0.6,15
0.09,1.1,1.01,1.02,0.9,16
0.71,0.87,0.07,0.09,0.06,17
0.03,-0.06,-0.04,0.66,0.57,18
0.25,0.52,0.45,0.47,0.25,0
0.41,0.06,0.61,0.46,0.13,1
0.74,0.07,1.14,1.07,1.0,2
0.04,0.02,1.04,1.1,0.92,3
0.77,0.8,0.81,0.71,0.16,4
0.62,0.74,0.05,0.01,0.06,5
0.17,0.03,0.95,0.87,0.14,6
0.06,-0.02,-0.04,0.0,0.02,7
0.6,0.04,0.05,0.12,0.81,8
0.77,1.17,1.12,1.17,1.03,9
0.74,0.07,0.01,0.02,0.03,10
0.33,0.73,0.61,0.54,0.27,11
0.79,0.74,0.73,0.1,0.08,12
0.57,0.05,0.1,1.01,0.78,13
0.32,0.05,0.29,0.83,0.83,14
-0.03,0.01,-0.02,0.2,0.66,15
0.11,1.11,1.07,1.05,0.93,16
0.78,0.9,0.09,0.03,0.05,17
-0.0,-0.05,-0.0,0.69,0.62,18
0.39,0.59,0.61,0.6,0.35,0
0.38,0.07,0.58,0.45,0.13,1
0.79,0.09,1.16,1.05,1.02,2
0.03,0.06,1.07,1.07,0.96,3
0.8,0.81,0.82,0.76,0.11,4
0.61,0.73,0.07,0.08,0.04,5
0.21,0.07,0.99,0.92,0.2,6
0.06,-0.02,-0.04,0.01,0.01,7
0.63,0.06,0.02,0.1,0.88,8
0.79,1.2,1.12,1.16,1.05,9
0.72,0.04,0.01,0.02,0.03,10
0.42,0.79,0.72,0.73,0.41,11
0.74,0.67,0.75,0.09,0.1,12
0.56,0.06,0.1,1.02,0.78,13
0.32,0.06,0.31,0.86,0.79,14
-0.01,0.05,-0.01,0.25,0.59,15
0.11,1.11,1.07,1.06,0.91,16
0.75,0.94,0.1,0.07,0.06,17
0.12,-0.03,0.01,0.75,0.64,18
0.4,0.69,0.43,0.4,0.22,0
0.36,0.07,0.65,0.54,0.12,1
0.77,0.12,1.12,0.99,0.95,2
-0.02,-0.0,0.93,1.04,0.81,3
0.85,0.69,0.74,0.56,0.2,4
0.6,0.66,0.03,0.03,0.05,5
0.24,0.04,0.93,0.92,0.19,6
0.04,-0.03,-0.03,0.01,0.02,7
